Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC Fight Night: Shogun vs Sonnen,Brad Pickett ,Michael McDonald ,Bantamweight Bout, Submission ,2,3:43,3 Rnd (5-5-5),,Triangle Choke From Bottom Guard,Brad Pickett ,0,17,78,21%,61 of 124,1,1,100%,0,0,2:21,16 of 73,0 of 2,1 of 3,13 of 67,0 of 1,4 of 10,Michael McDonald ,2,51,87,58%,54 of 90,0,1,0%,2,0,0:29,44 of 79,4 of 5,3 of 3,43 of 73,5 of 9,3 of 5
UFC Fight Night: Shogun vs Sonnen,Joe Lauzon ,Michael Johnson ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Sal D'amato 27 - 30. Bryan Miner 27 - 30. Tony Weeks 25 - 30.,Joe Lauzon ,0,25,109,22%,28 of 112,0,4,0%,0,0,0:28,24 of 108,1 of 1,0 of 0,23 of 107,2 of 2,0 of 0,Michael Johnson ,2,116,255,45%,119 of 259,2,2,100%,0,0,1:01,81 of 208,23 of 35,12 of 12,103 of 232,11 of 18,2 of 5
UFC Fight Night: Shogun vs Sonnen,Uriah Hall ,John Howard ,Middleweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Ryan Shea 27 - 30. Steve Rita 29 - 28. Doug Crosby 28 - 29.,Uriah Hall ,0,41,62,66%,59 of 82,2,8,25%,0,0,4:53,17 of 35,8 of 9,16 of 18,19 of 37,15 of 16,7 of 9,John Howard ,0,33,61,54%,92 of 126,2,6,33%,1,0,3:47,10 of 31,6 of 12,17 of 18,18 of 41,10 of 14,5 of 6
UFC Fight Night: Shogun vs Sonnen,Mike Pyle ,Matt Brown ,Welterweight Bout, KO/TKO ,1,0:29,3 Rnd (5-5-5),Kevin MacDonald,Knee to Head In Clinch,Matt Brown ,1,10,18,55%,10 of 18,0,0,---,0,0,0:06,8 of 15,1 of 2,1 of 1,4 of 11,1 of 1,5 of 6,Mike Pyle ,0,0,3,0%,0 of 3,0,0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
UFC Fight Night: Shogun vs Sonnen,Iuri Alcantara ,Urijah Faber ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,Sal D'amato 26 - 30. Bryan Miner 26 - 30. Ryan Shea 27 - 30.,Urijah Faber ,0,54,79,68%,127 of 155,4,5,80%,0,0,10:08,53 of 77,1 of 1,0 of 1,3 of 7,0 of 0,51 of 72,Iuri Alcantara ,0,8,23,34%,25 of 43,1,1,100%,1,0,2:32,5 of 17,3 of 5,0 of 1,2 of 10,0 of 0,6 of 13
UFC Fight Night: Shogun vs Sonnen,Alistair Overeem ,Travis Browne ,Heavyweight Bout, KO/TKO ,1,4:08,3 Rnd (5-5-5),Mario Yamasaki,Kick to Head At Distance Front Kick,Alistair Overeem ,2,41,66,62%,46 of 71,0,1,0%,0,0,2:15,21 of 44,18 of 20,2 of 2,5 of 11,25 of 37,11 of 18,Travis Browne ,1,14,27,51%,14 of 27,0,0,---,0,0,0:02,8 of 19,6 of 7,0 of 1,9 of 21,3 of 4,2 of 2
UFC Fight Night: Shogun vs Sonnen,Mauricio Rua ,Chael Sonnen ,Light Heavyweight Bout, Submission ,1,4:47,5 Rnd (5-5-5-5-5),Herb Dean,Guillotine Choke After Drop to Guard,Mauricio Rua ,0,0,1,0%,9 of 10,0,1,0%,0,0,0:50,0 of 1,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,Chael Sonnen ,0,5,9,55%,58 of 70,2,3,66%,2,0,3:49,3 of 7,2 of 2,0 of 0,0 of 1,1 of 1,4 of 7
UFC 163: Aldo vs Jung,Ednaldo Oliveira ,Francimar Barroso ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Leon Roberts,Guilherme Bravo 27 - 30. Mark Collett 27 - 30. Richard Winter 27 - 30.,Ednaldo Oliveira ,0,19,71,26%,30 of 84,0,1,0%,0,0,3:14,13 of 61,5 of 9,1 of 1,9 of 55,5 of 8,5 of 8,Francimar Barroso ,0,31,63,49%,69 of 103,2,5,40%,0,0,3:40,10 of 40,7 of 8,14 of 15,19 of 49,10 of 12,2 of 2
UFC 163: Aldo vs Jung,Josh Clopton ,Rani Yahya ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Guilherme Bravo 28 - 29. Mark Collett 28 - 29. Chris Watts 28 - 29.,Rani Yahya ,0,14,40,35%,135 of 163,2,7,28%,1,1,8:23,13 of 33,1 of 2,0 of 5,4 of 26,0 of 0,10 of 14,Josh Clopton ,0,5,13,38%,57 of 69,0,0,---,0,0,3:19,4 of 12,1 of 1,0 of 0,3 of 9,0 of 0,2 of 4
UFC 163: Aldo vs Jung,Iliarde Santos ,Ian McCall ,Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Sal D'amato 27 - 30. Chris Watts 27 - 30. Mark Collett 28 - 29.,Ian McCall ,0,92,226,40%,104 of 241,1,5,20%,0,0,1:01,34 of 139,14 of 30,44 of 57,86 of 209,2 of 7,4 of 10,Iliarde Santos ,0,43,172,25%,46 of 176,1,7,14%,0,0,0:38,32 of 158,7 of 10,4 of 4,41 of 165,0 of 5,2 of 2
