Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC Fight Night: Figueiredo vs. Benavidez 2,Davi Ramos ,Arman Tsarukyan ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby 27 - 30. Clemens Werner 27 - 30. Lukasz Bosacki 28 - 29.,Davi Ramos ,0,33,103,32%,49 of 122,0,5,0%,0,0,0:18,20 of 82,10 of 18,3 of 3,29 of 92,4 of 7,0 of 4,Arman Tsarukyan ,0,91,197,46%,118 of 227,1,5,20%,0,0,3:08,60 of 160,13 of 19,18 of 18,80 of 182,6 of 7,5 of 8
UFC Fight Night: Figueiredo vs. Benavidez 2,Malcolm Gordon ,Amir Albazi ,Bantamweight Bout, Submission ,1,4:42,3 Rnd (5-5-5),Herb Dean,Triangle Choke From Bottom Guard,Malcolm Gordon ,0,3,16,18%,5 of 18,0,0,---,0,1,0:22,1 of 11,1 of 1,1 of 4,3 of 16,0 of 0,0 of 0,Amir Albazi ,0,12,28,42%,28 of 46,1,1,100%,1,0,2:21,8 of 24,2 of 2,2 of 2,10 of 25,0 of 0,2 of 3
UFC Fight Night: Figueiredo vs. Benavidez 2,Montel Jackson ,Brett Johns ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 28 - 29. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,Brett Johns ,0,11,19,57%,30 of 39,8,19,42%,1,0,8:42,7 of 14,2 of 3,2 of 2,4 of 11,6 of 6,1 of 2,Montel Jackson ,1,26,44,59%,80 of 99,2,3,66%,0,1,2:41,18 of 35,6 of 6,2 of 3,14 of 31,5 of 5,7 of 8
UFC Fight Night: Figueiredo vs. Benavidez 2,Joe Duffy ,Joel Alvarez ,Lightweight Bout, Submission ,1,2:25,3 Rnd (5-5-5),Marc Goddard,Guillotine Choke From Guard,Joe Duffy ,0,14,26,53%,14 of 26,1,1,100%,0,0,0:09,6 of 16,4 of 5,4 of 5,14 of 26,0 of 0,0 of 0,Joel Alvarez ,0,18,37,48%,18 of 37,0,0,---,1,0,0:00,7 of 24,3 of 4,8 of 9,18 of 36,0 of 1,0 of 0
UFC Fight Night: Figueiredo vs. Benavidez 2,Nad Narimani ,Grant Dawson ,Catch Weight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson 26 - 30. Clemens Werner 27 - 30. David Lethaby 27 - 29.,Grant Dawson ,0,53,115,46%,136 of 218,2,6,33%,1,0,8:11,25 of 74,5 of 14,23 of 27,48 of 108,0 of 0,5 of 7,Nad Narimani ,0,31,76,40%,57 of 105,0,0,---,0,0,0:09,17 of 59,12 of 15,2 of 2,28 of 73,2 of 2,1 of 1
UFC Fight Night: Figueiredo vs. Benavidez 2,Khadis Ibragimov ,Roman Dolidze ,Light Heavyweight Bout, KO/TKO ,1,4:15,3 Rnd (5-5-5),Herb Dean,Knee to Head At Distance,Roman Dolidze ,1,19,22,86%,19 of 22,0,0,---,0,0,0:03,9 of 11,1 of 1,9 of 10,13 of 16,0 of 0,6 of 6,Khadis Ibragimov ,0,4,14,28%,10 of 20,0,0,---,0,0,0:34,0 of 8,1 of 3,3 of 3,3 of 12,0 of 0,1 of 2
UFC Fight Night: Figueiredo vs. Benavidez 2,Alexandre Pantoja ,Askar Askarov ,Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki 28 - 29. David Lethaby 28 - 29. Clemens Werner 28 - 29.,Alexandre Pantoja ,0,32,62,51%,40 of 71,1,2,50%,0,0,2:17,17 of 40,12 of 19,3 of 3,30 of 60,1 of 1,1 of 1,Askar Askarov ,0,41,63,65%,44 of 66,2,15,13%,0,1,5:11,31 of 53,1 of 1,9 of 9,34 of 54,5 of 6,2 of 3
UFC Fight Night: Figueiredo vs. Benavidez 2,Luana Carolina ,Ariane Lipski ,Women's Flyweight Bout, Submission ,1,1:28,3 Rnd (5-5-5),Daniel Movahedi,Kneebar On Ground,Ariane Lipski ,0,3,4,75%,11 of 12,0,0,---,1,0,1:07,1 of 2,2 of 2,0 of 0,3 of 4,0 of 0,0 of 0,Luana Carolina ,0,2,4,50%,2 of 4,0,0,---,1,0,0:00,0 of 2,0 of 0,2 of 2,2 of 4,0 of 0,0 of 0
UFC Fight Night: Figueiredo vs. Benavidez 2,Marc Diakiese ,Rafael Fiziev ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,David Lethaby 27 - 30. Lukasz Bosacki 28 - 29. Anders Ohlsson 28 - 29.,Marc Diakiese ,0,68,148,45%,73 of 153,0,4,0%,0,0,0:22,31 of 105,19 of 21,18 of 22,66 of 146,2 of 2,0 of 0,Rafael Fiziev ,0,78,124,62%,82 of 128,1,2,50%,0,0,2:49,28 of 65,33 of 41,17 of 18,67 of 110,9 of 12,2 of 2
UFC Fight Night: Figueiredo vs. Benavidez 2,Kelvin Gastelum ,Jack Hermansson ,Middleweight Bout, Submission ,1,1:18,3 Rnd (5-5-5),Herb Dean,Heel Hook From Bottom Guard,Jack Hermansson ,0,2,4,50%,2 of 4,0,1,0%,1,0,0:00,0 of 1,0 of 1,2 of 2,2 of 4,0 of 0,0 of 0,Kelvin Gastelum ,0,0,3,0%,1 of 5,1,1,100%,0,0,0:33,0 of 1,0 of 2,0 of 0,0 of 3,0 of 0,0 of 0
UFC Fight Night: Figueiredo vs. Benavidez 2,Joseph Benavidez ,Deiveson Figueiredo ,UFC Flyweight Title Bout, Submission ,1,4:48,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke,Deiveson Figueiredo ,2,35,40,87%,40 of 45,0,0,---,4,0,2:23,31 of 36,4 of 4,0 of 0,12 of 16,0 of 0,23 of 24,Joseph Benavidez ,0,18,28,64%,22 of 33,0,0,---,0,0,0:00,8 of 15,5 of 7,5 of 6,18 of 28,0 of 0,0 of 0
UFC Fight Night: Kattar vs. Ige,Diana Belbita ,Liana Jojua ,Women's Flyweight Bout, Submission ,1,2:43,3 Rnd (5-5-5),Rich Mitchell,Armbar From Bottom Guard,Diana Belbita ,0,5,9,55%,6 of 11,1,2,50%,0,0,1:34,3 of 6,2 of 3,0 of 0,3 of 5,2 of 4,0 of 0,Liana Jojua ,0,2,3,66%,3 of 4,0,0,---,3,0,0:52,1 of 2,1 of 1,0 of 0,1 of 2,1 of 1,0 of 0
UFC Fight Night: Kattar vs. Ige,Chris Fishgold ,Jared Gordon ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki 26 - 30. Ben Cartlidge 26 - 30. Anders Ohlsson 26 - 30.,Jared Gordon ,0,44,69,63%,241 of 282,3,6,50%,0,0,10:22,35 of 58,6 of 8,3 of 3,19 of 35,2 of 3,23 of 31,Chris Fishgold ,0,20,58,34%,27 of 65,0,1,0%,1,1,0:43,13 of 49,5 of 7,2 of 2,16 of 52,4 of 6,0 of 0
UFC Fight Night: Kattar vs. Ige,Andreas Michailidis ,Modestas Bukauskas ,Light Heavyweight Bout, KO/TKO ,1,5:00,3 Rnd (5-5-5),Daniel Movahedi,to Referee Stoppage Between Rounds,Modestas Bukauskas ,0,18,49,36%,18 of 49,0,0,---,0,0,0:00,11 of 40,4 of 6,3 of 3,11 of 42,7 of 7,0 of 0,Andreas Michailidis ,0,23,46,50%,23 of 46,0,1,0%,0,0,0:09,8 of 26,7 of 11,8 of 9,23 of 45,0 of 1,0 of 0
UFC Fight Night: Kattar vs. Ige,Ricardo Ramos ,Lerone Murphy ,Featherweight Bout, KO/TKO ,1,4:18,3 Rnd (5-5-5),Rich Mitchell,Punches to Head From Half Guard,Ricardo Ramos ,0,10,29,34%,10 of 29,0,2,0%,0,0,0:57,3 of 17,1 of 3,6 of 9,7 of 25,1 of 2,2 of 2,Lerone Murphy ,0,22,40,55%,24 of 42,1,2,50%,0,0,1:22,14 of 32,5 of 5,3 of 3,3 of 12,2 of 3,17 of 25
UFC Fight Night: Kattar vs. Ige,John Phillips ,Khamzat Chimaev ,Middleweight Bout, Submission ,2,1:12,3 Rnd (5-5-5),Herb Dean,D'Arce Choke On Ground,John Phillips ,0,1,2,50%,2 of 3,0,0,---,0,0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0,Khamzat Chimaev ,0,43,52,82%,124 of 140,2,2,100%,1,0,5:54,40 of 49,1 of 1,2 of 2,1 of 1,0 of 0,42 of 51
UFC Fight Night: Kattar vs. Ige,Abdul Razak Alhassan ,Mounir Lazzez ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 27 - 30. Clemens Werner 27 - 30. Vito Paolillo 28 - 29.,Abdul Razak Alhassan ,0,67,133,50%,70 of 136,1,4,25%,0,0,1:31,49 of 108,6 of 6,12 of 19,61 of 119,6 of 14,0 of 0,Mounir Lazzez ,0,98,177,55%,114 of 194,4,4,100%,0,0,4:52,51 of 118,25 of 36,22 of 23,78 of 151,14 of 20,6 of 6
UFC Fight Night: Kattar vs. Ige,Molly McCann ,Taila Santos ,Women's Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,David Lethaby 27 - 30. Anders Ohlsson 27 - 30. Lukasz Bosacki 26 - 30.,Molly McCann ,0,48,106,45%,67 of 125,0,4,0%,0,0,0:56,25 of 79,13 of 17,10 of 10,43 of 96,5 of 10,0 of 0,Taila Santos ,0,57,143,39%,75 of 164,5,7,71%,1,0,7:53,24 of 90,21 of 36,12 of 17,34 of 113,12 of 13,11 of 17
UFC Fight Night: Kattar vs. Ige,Cody Stamann ,Jimmie Rivera ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson 27 - 30. Vito Paolillo 27 - 30. Mark Collett 28 - 29.,Jimmie Rivera ,0,48,89,53%,90 of 134,2,3,66%,1,0,1:59,16 of 44,13 of 16,19 of 29,32 of 68,12 of 16,4 of 5,Cody Stamann ,0,26,72,36%,62 of 108,1,5,20%,0,0,4:25,13 of 55,8 of 11,5 of 6,18 of 61,8 of 11,0 of 0
UFC Fight Night: Kattar vs. Ige,Ryan Benoit ,Tim Elliott ,Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29. David Lethaby 28 - 29. Clemens Werner 28 - 29.,Tim Elliott ,0,67,169,39%,90 of 193,1,13,7%,2,1,2:42,31 of 100,16 of 40,20 of 29,44 of 139,14 of 20,9 of 10,Ryan Benoit ,0,55,122,45%,64 of 131,1,2,50%,2,0,0:22,39 of 97,13 of 22,3 of 3,47 of 107,8 of 15,0 of 0
UFC Fight Night: Kattar vs. Ige,Dan Ige ,Calvin Kattar ,Featherweight Bout, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge 46 - 49. Mark Collett 46 - 49. David Lethaby 47 - 48.,Calvin Kattar ,0,105,260,40%,107 of 262,1,1,100%,0,0,1:06,50%,29 of 56,0 of 0,---,0,0,Dan Ige ,0,84,218,38%,87 of 221,0,9,0%,0,0,0:03,32%,17 of 52,0 of 3,0%,0,0
UFC Fight Night: Waterson vs. Hill,Justine Kish ,Sabina Mazo ,Women's Flyweight Bout, Submission ,3,3:57,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Sabina Mazo ,1,131,275,47%,131 of 275,0,0,---,1,0,0:14,45 of 158,27 of 38,59 of 79,123 of 264,8 of 10,0 of 1,Justine Kish ,0,93,210,44%,94 of 212,1,3,33%,0,0,0:32,25 of 118,23 of 38,45 of 54,88 of 199,4 of 8,1 of 3
UFC Fight Night: Covington vs. Woodley,Jerome Rivera ,Tyson Nam ,Bantamweight Bout, KO/TKO ,2,0:34,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Tyson Nam ,1,36,72,50%,36 of 72,0,0,---,0,0,0:23,27 of 58,7 of 12,2 of 2,18 of 47,3 of 3,15 of 22,Jerome Rivera ,0,30,80,37%,31 of 81,0,0,---,0,0,0:00,9 of 45,2 of 11,19 of 24,29 of 79,1 of 1,0 of 0
UFC 253: Adesanya vs. Costa,Khadis Ibragimov ,Danilo Marques ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ahmed Korchi 28 - 29. Anders Ohlsson 28 - 29. Dave Tirelli 27 - 30.,Khadis Ibragimov ,0,19,46,41%,36 of 65,0,0,---,1,1,1:30,16 of 43,1 of 1,2 of 2,12 of 37,3 of 3,4 of 6,Danilo Marques ,0,16,22,72%,19 of 26,4,16,25%,0,0,7:16,7 of 12,6 of 7,3 of 3,15 of 20,0 of 1,1 of 1
UFC Fight Night: Holm vs. Aldana,Jessin Ayari ,Luigi Vendramini ,Lightweight Bout, KO/TKO ,1,1:12,3 Rnd (5-5-5),Jason Herzog,Kick to Head At Distance,Luigi Vendramini ,1,13,23,56%,14 of 24,0,1,0%,0,0,0:02,11 of 21,1 of 1,1 of 1,11 of 18,0 of 0,2 of 5,Jessin Ayari ,0,2,10,20%,2 of 10,0,0,---,0,0,0:00,1 of 8,0 of 1,1 of 1,2 of 9,0 of 1,0 of 0
UFC Fight Night: Moraes vs. Sandhagen,Bruno Silva ,Tagir Ulanbekov ,Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Anders Ohlsson 27 - 30. Mike Bell 28 - 29. Victor Wolf 28 - 29.,Bruno Silva ,0,47,114,41%,59 of 134,4,8,50%,0,0,2:21,20 of 81,10 of 12,17 of 21,40 of 104,7 of 10,0 of 0,Tagir Ulanbekov ,0,46,122,37%,69 of 152,5,11,45%,0,0,3:47,38 of 110,3 of 5,5 of 7,45 of 119,1 of 3,0 of 0
UFC Fight Night: Ortega vs. The Korean Zombie,Mark Striegl ,Said Nurmagomedov ,Bantamweight Bout, KO/TKO ,1,0:51,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head On Ground,Said Nurmagomedov ,0,18,24,75%,18 of 24,0,0,---,0,0,0:05,17 of 22,0 of 0,1 of 2,3 of 7,4 of 4,11 of 13,Mark Striegl ,0,3,7,42%,3 of 7,0,1,0%,0,0,0:00,1 of 5,0 of 0,2 of 2,3 of 7,0 of 0,0 of 0
UFC 254: Khabib vs. Gaethje,Alexander Yakovlev ,Joel Alvarez ,Lightweight Bout, Submission ,1,3:00,3 Rnd (5-5-5),Jason Herzog,Armbar From Bottom Guard,Joel Alvarez ,0,4,6,66%,10 of 13,0,0,---,2,0,0:00,1 of 3,0 of 0,3 of 3,3 of 5,0 of 0,1 of 1,Alexander Yakovlev ,0,1,1,100%,15 of 16,1,1,100%,0,0,1:57,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
UFC Fight Night: Hall vs. Silva,Kevin Natividad ,Miles Johns ,Bantamweight Bout, KO/TKO ,3,2:51,3 Rnd (5-5-5),Chris Tognoni,Punch to Head In Clinch,Miles Johns ,1,48,105,45%,56 of 114,0,7,0%,0,0,3:03,39 of 92,3 of 7,6 of 6,46 of 100,2 of 5,0 of 0,Kevin Natividad ,0,33,137,24%,38 of 142,0,1,0%,0,0,0:00,23 of 119,8 of 15,2 of 3,31 of 132,2 of 5,0 of 0
UFC Fight Night: Santos vs. Teixeira,Anthony Birchak ,Gustavo Lopez ,Bantamweight Bout, Submission ,1,2:43,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Gustavo Lopez ,0,26,43,60%,33 of 50,2,3,66%,1,0,1:06,17 of 33,9 of 10,0 of 0,15 of 27,5 of 7,6 of 9,Anthony Birchak ,0,17,40,42%,18 of 41,0,0,---,0,0,0:00,8 of 27,5 of 9,4 of 4,12 of 33,3 of 5,2 of 2
UFC Fight Night: Santos vs. Teixeira,Ramiz Brahimaj ,Max Griffin ,Welterweight Bout, KO/TKO ,3,2:03,3 Rnd (5-5-5),Mark Smith,Elbow to Head In Clinch Ear Injury,Max Griffin ,0,74,167,44%,82 of 175,0,1,0%,0,0,0:32,50 of 135,14 of 21,10 of 11,73 of 166,1 of 1,0 of 0,Ramiz Brahimaj ,0,45,123,36%,46 of 124,0,0,---,0,0,0:13,40 of 112,3 of 9,2 of 2,45 of 123,0 of 0,0 of 0
UFC Fight Night: Santos vs. Teixeira,Eduardo Garagorri ,Darren Elkins ,Featherweight Bout, Submission ,3,2:22,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Darren Elkins ,0,32,72,44%,120 of 168,7,21,33%,1,0,7:34,21 of 58,10 of 13,1 of 1,18 of 55,12 of 15,2 of 2,Eduardo Garagorri ,0,36,78,46%,48 of 90,0,0,---,0,0,0:10,28 of 69,8 of 9,0 of 0,30 of 69,3 of 4,3 of 5
UFC Fight Night: Santos vs. Teixeira,Marcos Rogerio de Lima ,Alexandr Romanov ,Heavyweight Bout, Submission ,1,4:48,3 Rnd (5-5-5),Herb Dean,Forearm Choke From Half Guard,Alexandr Romanov ,0,6,7,85%,10 of 12,2,5,40%,1,0,3:51,3 of 3,1 of 2,2 of 2,0 of 0,3 of 4,3 of 3,Marcos Rogerio de Lima ,0,18,29,62%,27 of 39,0,0,---,0,0,0:00,7 of 17,5 of 5,6 of 7,12 of 22,5 of 6,1 of 1
UFC Fight Night: Santos vs. Teixeira,Bevon Lewis ,Trevin Giles ,Middleweight Bout, KO/TKO ,3,1:26,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,Trevin Giles ,2,38,59,64%,51 of 73,1,2,50%,0,0,2:33,34 of 54,2 of 3,2 of 2,34 of 53,3 of 5,1 of 1,Bevon Lewis ,0,26,75,34%,60 of 113,0,6,0%,0,0,1:35,15 of 59,6 of 9,5 of 7,21 of 69,5 of 6,0 of 0
UFC Fight Night: Santos vs. Teixeira,Claudia Gadelha ,Yan Xiaonan ,Women's Strawweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,Claudia Gadelha ,0,36,96,37%,84 of 149,2,10,20%,0,0,6:46,29 of 84,6 of 11,1 of 1,30 of 88,1 of 3,5 of 5,Yan Xiaonan ,0,74,170,43%,133 of 234,0,0,---,0,0,0:19,54 of 143,15 of 21,5 of 6,58 of 149,14 of 18,2 of 3
UFC Fight Night: Santos vs. Teixeira,Jamey Simmons ,Giga Chikadze ,Featherweight Bout, KO/TKO ,1,3:51,3 Rnd (5-5-5),Herb Dean,Kick to Head At Distance,Giga Chikadze ,1,8,16,50%,8 of 16,0,1,0%,0,0,0:09,6 of 13,2 of 3,0 of 0,4 of 10,0 of 0,4 of 6,Jamey Simmons ,0,2,4,50%,4 of 6,0,3,0%,0,0,0:44,2 of 4,0 of 0,0 of 0,1 of 3,1 of 1,0 of 0
UFC Fight Night: Santos vs. Teixeira,Khalid Taha ,Raoni Barcelos ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Dave Hagen 27 - 30. Chris Lee 27 - 30. Ron McCarthy 27 - 30.,Raoni Barcelos ,0,120,207,57%,129 of 219,2,4,50%,1,0,3:15,85 of 166,17 of 22,18 of 19,108 of 195,7 of 7,5 of 5,Khalid Taha ,0,49,202,24%,68 of 222,0,1,0%,0,1,1:27,40 of 186,5 of 10,4 of 6,49 of 193,0 of 6,0 of 3
UFC Fight Night: Santos vs. Teixeira,Tanner Boser ,Andrei Arlovski ,Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon 28 - 29. Chris Lee 28 - 29. Ron McCarthy 28 - 29.,Andrei Arlovski ,0,34,82,41%,34 of 82,0,0,---,0,0,0:00,16 of 53,6 of 13,12 of 16,33 of 81,1 of 1,0 of 0,Tanner Boser ,0,68,119,57%,68 of 119,0,0,---,0,0,0:00,16 of 58,6 of 9,46 of 52,68 of 118,0 of 1,0 of 0
UFC Fight Night: Santos vs. Teixeira,Thiago Santos ,Glover Teixeira ,Light Heavyweight Bout, Submission ,3,1:49,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,Thiago Santos ,1,40,64,62%,81 of 109,0,0,---,0,0,1:18,38 of 58,0 of 4,2 of 2,11 of 24,0 of 0,29 of 40,Glover Teixeira ,0,46,63,73%,148 of 180,4,7,57%,2,0,9:03,46 of 63,0 of 0,0 of 0,2 of 5,0 of 0,44 of 58
UFC Fight Night: Hall vs. Silva,Justin Ledet ,Dustin Jacoby ,Light Heavyweight Bout, KO/TKO ,1,2:38,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Dustin Jacoby ,2,22,38,57%,22 of 38,0,0,---,0,0,0:11,10 of 22,2 of 5,10 of 11,17 of 29,0 of 1,5 of 8,Justin Ledet ,0,10,31,32%,10 of 31,0,0,---,0,0,0:00,8 of 29,0 of 0,2 of 2,10 of 30,0 of 1,0 of 0
UFC Fight Night: Hall vs. Silva,Cole Williams ,Jason Witt ,Welterweight Bout, Submission ,2,2:09,3 Rnd (5-5-5),Mark Smith,Arm Triangle From Mount,Cole Williams ,0,1,5,20%,23 of 27,0,0,---,0,0,0:00,1 of 4,0 of 1,0 of 0,1 of 5,0 of 0,0 of 0,Jason Witt ,0,20,31,64%,50 of 70,2,3,66%,1,0,6:19,17 of 28,1 of 1,2 of 2,5 of 9,0 of 0,15 of 22
UFC Fight Night: Hall vs. Silva,Jack Marshman ,Sean Strickland ,Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 27 - 30. Derek Cleary 27 - 30. Adalaide Byrd 27 - 30.,Sean Strickland ,0,106,227,46%,106 of 227,0,0,---,0,0,0:00,88 of 203,15 of 21,3 of 3,106 of 227,0 of 0,0 of 0,Jack Marshman ,0,48,252,19%,48 of 252,0,0,---,0,0,0:00,19 of 176,18 of 59,11 of 17,48 of 252,0 of 0,0 of 0
UFC Fight Night: Hall vs. Silva,Victor Rodriguez ,Adrian Yanez ,Bantamweight Bout, KO/TKO ,1,2:46,3 Rnd (5-5-5),Herb Dean,Kick to Head At Distance,Adrian Yanez ,1,17,34,50%,18 of 35,0,0,---,0,0,0:05,15 of 32,2 of 2,0 of 0,16 of 33,1 of 1,0 of 0,Victor Rodriguez ,0,6,13,46%,9 of 16,0,3,0%,0,0,0:54,5 of 11,1 of 2,0 of 0,6 of 12,0 of 1,0 of 0
UFC Fight Night: Hall vs. Silva,Chris Gruetzemacher ,Alexander Hernandez ,Lightweight Bout, KO/TKO ,1,1:46,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,Chris Gruetzemacher ,0,8,27,29%,8 of 27,0,0,---,0,0,0:00,4 of 20,0 of 2,4 of 5,8 of 26,0 of 1,0 of 0,Alexander Hernandez ,1,29,52,55%,29 of 52,0,0,---,0,0,0:00,16 of 34,4 of 9,9 of 9,28 of 51,1 of 1,0 of 0
UFC Fight Night: Hall vs. Silva,Bobby Green ,Thiago Moises ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Dave Hagen 28 - 29. Sal D'amato 28 - 29. Derek Cleary 28 - 29.,Bobby Green ,0,85,177,48%,94 of 187,2,3,66%,0,1,1:11,29 of 104,31 of 40,25 of 33,82 of 170,3 of 4,0 of 3,Thiago Moises ,0,42,119,35%,43 of 120,2,3,66%,1,0,1:51,29 of 102,5 of 7,8 of 10,42 of 119,0 of 0,0 of 0
UFC Fight Night: Hall vs. Silva,Charlie Ontiveros ,Kevin Holland ,Middleweight Bout, Submission ,1,2:39,3 Rnd (5-5-5),Mark Smith,Injury Verbal submission,Kevin Holland ,0,11,12,91%,33 of 34,2,2,100%,0,0,2:13,10 of 11,0 of 0,1 of 1,2 of 3,0 of 0,9 of 9,Charlie Ontiveros ,0,2,2,100%,2 of 2,0,0,---,0,0,0:00,2 of 2,0 of 0,0 of 0,2 of 2,0 of 0,0 of 0
UFC Fight Night: Hall vs. Silva,Maurice Greene ,Greg Hardy ,Heavyweight Bout, KO/TKO ,2,1:12,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,Maurice Greene ,0,17,37,45%,17 of 37,0,0,---,0,0,0:00,6 of 21,3 of 5,8 of 11,16 of 36,0 of 0,1 of 1,Greg Hardy ,1,46,74,62%,56 of 85,1,1,100%,0,0,2:32,32 of 55,5 of 5,9 of 14,19 of 36,0 of 0,27 of 38
UFC Fight Night: Hall vs. Silva,Andre Fili ,Bryce Mitchell ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 28 - 29. Dave Hagen 27 - 30. Sal D'amato 27 - 30.,Bryce Mitchell ,0,46,69,66%,100 of 135,7,13,53%,1,0,10:12,28 of 49,14 of 15,4 of 5,29 of 42,0 of 0,17 of 27,Andre Fili ,0,27,72,37%,51 of 97,0,0,---,0,2,0:34,19 of 62,5 of 7,3 of 3,23 of 67,0 of 0,4 of 5
UFC Fight Night: Hall vs. Silva,Anderson Silva ,Uriah Hall ,Middleweight Bout, KO/TKO ,4,1:24,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,Uriah Hall ,2,60,111,54%,61 of 112,0,0,---,0,0,0:15,72%,13 of 18,0 of 0,---,0,0,Anderson Silva ,0,53,110,48%,57 of 114,0,0,---,0,0,0:31,23%,3 of 13,0 of 0,---,0,0
UFC 254: Khabib vs. Gaethje,Liana Jojua ,Miranda Maverick ,Women's Flyweight Bout, TKO - Doctor's Stoppage ,1,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Cut,Liana Jojua ,0,30,80,37%,30 of 80,0,0,---,0,0,0:00,26 of 71,4 of 8,0 of 1,30 of 80,0 of 0,0 of 0,Miranda Maverick ,0,49,95,51%,49 of 95,0,0,---,0,0,0:00,25 of 65,15 of 21,9 of 9,49 of 95,0 of 0,0 of 0
UFC 254: Khabib vs. Gaethje,Alex Oliveira ,Shavkat Rakhmonov ,Welterweight Bout, Submission ,1,4:40,3 Rnd (5-5-5),Lukasz Bosacki,Guillotine Choke After Drop to Guard,Alex Oliveira ,0,9,18,50%,16 of 26,0,2,0%,0,0,2:04,3 of 9,3 of 5,3 of 4,4 of 12,5 of 6,0 of 0,Shavkat Rakhmonov ,0,13,25,52%,32 of 44,0,2,0%,1,0,0:44,6 of 14,4 of 8,3 of 3,10 of 19,3 of 6,0 of 0
